# Grafy, co neni potreba testovat
#################################
# Graf 1
1|
#################################
# Graf 2
1|2
2|3
3|4
4|1
#################################
# Graf 3
1|1,2,3
2|3,4
3|4
4|
#################################
# Graf 4
1|2,3
2|3,4
3|4
4|5
5|1
#################################
# Graf 5
1|1,2,2,3
2|1,2,3
3|1,2,3,3
#################################
# Graf 6
1|1,2,3,4
2|1,2,3,5
3|1,3,4,5
4|2,3,4,5
5|1,2,4,5
#################################
# Graf 7
13|11,12
11|11,1,3
1|12
5|
3|12
12|
#################################
# Graf 8
1|5,3,5
2|2,5,4
3|4,5,4
4|2,4,1
5|4,4,2 
#################################
# Graf 9
1|5,2,3,4
2|2,3,2,5
3|2,5,4,4
4|4,6,2,4
5|6,3,5,5
6|3,5,2,1
#################################
# Graf 10
1|1,1,1,1,2
2|2,2,2,2,3
3|3,3,3,3,4
4|4,4,4,4,5
5|5,5,5,5,6
6|6,6,6,6,1
#################################
# Graf 11
1|2,3
2|3,4
3|4,5
4|5,6
5|6,7
6|7,8
7|8,9
8|9,10
9|10,11
10|11,12
11|12,13
12|13,14
13|14,1
14|1,2
#################################
# Grafy, kde je K5
#################################
# Graf 12
1|2,3,4,5
2|1,3,4,5
3|1,2,4,5
4|1,2,3,5
5|2,3,4,5
#################################
# Graf 13
1|2,3,4,5
2|1,3,4,5
3|1,2,4,6
4|1,2,3,5
5|1,2,4,6
6|
#################################
# Graf 14
0|5
1|2,3,4,5
2|1,3,4,5
3|1,2,4,5
4|1,2,3,5
5|1,2,3,4
6|1
7|2
8|3
9|4
#################################
# Graf 15
1|2,3,4,5,6,7,8,9
2|1,3,4,5,6,7,8,9
3|1,2,4,5,6,7,8,9
4|1,2,3,5,6,7,8,9
5|1,2,3,4,6,7,8,9
6|1,2,3,4,5,7,8,9
7|1,2,3,4,5,6,8,9
8|1,2,3,4,5,6,7,9
9|1,2,3,4,5,6,7,8
#################################
# Graf 16
0|2,4,5
1|2,3,4,5,6
2|1,2,3,4
3|1,3,3,4,5,6
4|1,3,4,5,6
5|1,2,3,4,5,6
6|0,1,2,3,4,5,6,7
7|7,7,1,0,0,3
#################################
# Grafy, kde je K3,3
#################################
# Graf 17
0|3,4,5
1|3,4,5
2|3,4,5
3|
4|
5|
#################################
# Graf 18
0|3,4,5
1|3,4,5
2|3,4,5
3|6
4|6
5|6
6|
#################################
# Graf 19
0|5,9,12
1|0,2,4,6
2|3,7,8,9
3|5,8,12
4|4,4,6
5|2
6|
7|0,9,13
8|13,13,12
9|7,3,2
10|5,8,12
11|0,10,6
12|
13|7,1,5
#################################
# Graf 20
0|4,5,6
1|2,3
2|4,5,6
3|5,6,7
4|7
5|9
6|8,9
7|9
8|
9|
#################################
# Graf 21
15|20,3,10,4,15,11,17,6
20|15,3,10,4,15,11,17,6
3|15,20,10,4,15,11,17,6
10|
4|
15|
11|
17|
6|
#################################
# Random Grafy
#################################
# Graf 22
8|60,47,1,4,18,72
60|18,72,1,4
47|18,4
1|1,8,60,1,47
4|4,4,60,1
18|
72|
#################################
# Graf 23
1|15,5,14,7,9,14
2|3,5,4,13,9,5
3|12,11,9,7,5,1
4|12,12,3,9,10
5|3,8,12,13,2,11
6|2,8,14,12,3,2
7|15,7,2,8,11,8
8|6,2,9,7,2,3
9|13,4,12,13,1,2
10|15,8,2,1,15,2
11|15,9,15,6,8,6
12|6,2,11,3,2,10
13|10,14,2,10,8,14
14|2,12,7,4,12,8
15|11,3,8,4,4,13
#################################
# Graf 24
1|2,4,9,4,1,9,7,3,5,10
2|10,1,2,7,8,1,4,1,7,3
3|1,10,5,10,9,8,9,10,1,2
4|8,4,9,3,9,3,5,10,9,9
5|5,6,8,7,5,5,6,3,10,6
6|4,7,7,5,8,4,7,1,5,3
7|6,5,6,5,6,9,7,2,8,2
8|1,8,6,7,3,2,6,6,9,6
9|7,3,1,8,3,2,6,4,7,9
10|6,9,10,9,7,5,2,5,10,6
11|8,2,8,10,1,10,5,4,9,9
12|4,10,7,7,1,8,2,10,7,5
13|8,9,5,4,10,6,4,2,3,4
14|9,4,8,6,9,2,1,6,10,6
15|3,10,8,5,9,8,10,2,5,9
#################################
# Graf 25
1|8,5,7,7,5,3,10,10,7,5
2|2,6,2,1,3,9,1,7,5,10
3|3,10,5,10,2,5,7,9,7,5
4|2,3,2,2,10,10,8,10,4,8
5|5,6,1,7,2,9,7,9,6,1
6|1,3,7,10,3,6,4,8,1,6
7|4,7,9,8,4,4,10,9,1,5
8|9,6,2,5,10,1,1,6,2,2
9|9,8,3,1,3,7,9,2,3,1
10|2,4,9,1,6,7,1,7,5,1
11|5,9,4,5,5,8,6,10,3,3
12|4,6,8,8,9,8,3,10,3,10
13|3,8,1,3,3,10,3,3,10,3
14|1,10,9,10,7,3,2,6,10,5
15|1,7,9,10,2,5,2,1,2,10
#################################
# Graf 26
1|10,8,1,3,1,5,6,10,5,5
2|2,10,6,5,10,7,3,10,5,5
3|2,6,2,10,9,3,4,3,10,7
4|7,5,3,9,3,1,9,4,8,9
5|7,2,6,6,10,2,7,4,3,2
6|4,7,6,6,6,5,4,1,5,6
7|5,5,5,1,6,10,9,4,6,10
8|8,8,6,5,10,7,8,8,9,7
9|8,7,3,7,8,5,1,5,8,10
10|3,2,3,2,1,4,3,5,7,9
11|6,10,9,10,1,5,3,2,4,3
12|6,7,5,3,6,1,1,10,2,1
13|6,4,2,5,8,5,4,7,9,3
14|10,1,6,5,8,8,6,8,4,1
15|10,8,5,6,7,6,9,8,5,3
#################################
# Graf 27
1|5,4,20,25,8,17,4,29,11,7
2|6,9,26,13,23,17,14,7,20,21
3|8,20,12,27,23,19,27,4,4,9
4|11,7,22,14,5,13,4,16,23,24
5|26,17,3,20,14,13,7,19,30,16
6|5,8,2,22,6,12,19,4,16,4
7|21,11,2,8,28,26,23,29,21,7
8|26,29,9,28,1,26,21,23,2,2
9|25,8,23,18,23,18,19,27,9,19
10|25,10,12,14,16,24,29,12,27,14
11|15,16,19,23,29,11,4,6,14,16
12|13,20,12,25,8,12,29,6,21,13
13|2,3,23,19,29,7,29,29,3,7
14|2,3,30,29,12,21,5,6,20,4
15|11,3,9,22,27,17,19,14,12,8
16|7,7,19,19,14,6,27,7,26,28
17|2,17,23,13,25,19,5,11,4,2
18|14,29,21,1,6,2,11,22,16,10
19|10,2,10,12,24,9,11,5,2,7
20|13,29,18,12,13,21,29,20,22,26
21|22,16,17,6,7,1,14,4,3,2
22|8,7,18,2,9,8,2,28,9,9
23|20,14,8,9,20,21,16,4,1,11
24|21,18,18,9,1,13,6,4,8,27
25|19,2,17,29,10,14,13,14,1,19
26|7,9,29,1,9,27,25,29,25,23
27|19,17,16,28,29,4,17,28,18,25
28|30,30,25,12,29,11,28,30,28,17
29|19,15,22,8,30,6,5,22,10,23
30|21,15,6,18,22,27,9,21,11,4
#################################
# Graf 28
1|2,4,20,35,41,9,8,14,34,15
2|44,41,6,49,29,33,11,50,31,5
3|27,38,28,43,9,38,6,32,44,23
4|32,23,38,16,9,45,18,16,43,34
5|15,27,50,14,27,46,10,44,9,45
6|50,32,45,15,5,33,21,37,42,7
7|46,7,50,34,15,21,44,18,13,36
8|1,31,33,47,4,7,38,44,26,10
9|38,48,49,15,45,14,21,2,20,22
10|45,22,14,35,11,47,25,3,40,36
11|10,29,48,27,33,19,38,46,38,20
12|47,26,20,28,17,40,10,15,48,10
13|13,4,44,29,11,39,31,50,49,48
14|37,39,42,16,14,35,30,31,42,19
15|3,8,34,26,10,10,27,41,38,45
16|33,44,19,9,50,14,28,21,24,10
17|4,49,28,5,26,40,41,23,32,5
18|46,21,25,41,38,25,21,11,17,6
19|25,35,13,33,31,10,23,5,21,3
20|20,14,23,6,44,8,17,43,27,32
21|6,15,33,14,14,35,9,41,12,30
22|33,26,30,8,12,23,44,24,40,45
23|4,24,44,36,29,24,37,6,16,14
24|23,30,6,29,47,10,46,2,33,31
25|40,25,21,50,40,18,40,8,17,3
26|23,23,22,16,39,1,7,9,38,32
27|29,47,28,4,16,28,28,48,23,7
28|26,47,41,6,19,44,18,12,3,17
29|35,42,15,38,33,10,48,23,25,17
30|32,25,27,3,33,39,28,44,24,8
